DATETIME,VOLUME,OPEN,CLOSE,MIN,MAX
04-11-2010 15:03:01,423,1.0145,1.0144,1.0139,1.0148
04-11-2010 15:04:01,427,1.0144,1.0143,1.0139,1.0146
04-11-2010 15:05:01,443,1.0144,1.0143,1.0138,1.0147
04-11-2010 15:06:01,434,1.0143,1.0143,1.0137,1.0146
04-11-2010 15:07:01,313,1.0142,1.0143,1.0138,1.0146
04-11-2010 15:08:01,370,1.0143,1.0142,1.0139,1.0147
04-11-2010 15:09:01,317,1.0144,1.0144,1.0138,1.0147
04-11-2010 15:10:01,412,1.0144,1.0146,1.0138,1.0147
04-11-2010 15:11:01,316,1.0146,1.0147,1.0141,1.015
04-11-2010 15:12:01,344,1.0147,1.0145,1.014,1.015
04-11-2010 15:13:01,298,1.0145,1.0145,1.014,1.0147
04-11-2010 15:14:01,433,1.0144,1.0144,1.0136,1.0146
04-11-2010 15:15:01,373,1.0143,1.014,1.0135,1.0145
04-11-2010 15:16:01,396,1.014,1.0139,1.0135,1.0143
04-11-2010 15:17:01,401,1.014,1.0137,1.0133,1.0142
04-11-2010 15:18:01,507,1.0137,1.0137,1.0131,1.0141
04-11-2010 15:19:01,489,1.0136,1.0136,1.0133,1.014
04-11-2010 15:20:01,554,1.0136,1.0135,1.0129,1.0139
04-11-2010 15:21:01,423,1.0135,1.0136,1.0129,1.0138
04-11-2010 15:22:01,422,1.0136,1.0133,1.0127,1.0138
04-11-2010 15:23:01,284,1.0133,1.0133,1.0127,1.0135
04-11-2010 15:24:01,413,1.0133,1.0132,1.0127,1.0136
04-11-2010 15:25:01,412,1.0132,1.0132,1.0126,1.0134
04-11-2010 15:26:01,419,1.0132,1.0128,1.0123,1.0134
04-11-2010 15:27:01,398,1.0128,1.013,1.0123,1.0132
04-11-2010 15:28:01,454,1.013,1.0132,1.0124,1.0132
04-11-2010 15:29:01,413,1.0131,1.0133,1.0126,1.0136
04-11-2010 15:30:01,344,1.0134,1.0135,1.0129,1.0136
04-11-2010 15:31:01,416,1.0134,1.0135,1.0131,1.0138
04-11-2010 15:32:01,419,1.0135,1.0139,1.0131,1.014
04-11-2010 15:33:01,493,1.0135,1.014,1.0134,1.0142
04-11-2010 15:34:01,242,1.0136,1.0137,1.0134,1.0141
04-11-2010 15:35:01,412,1.0138,1.014,1.0136,1.0144
04-11-2010 15:36:01,236,1.014,1.014,1.0136,1.0143
04-11-2010 15:37:01,382,1.014,1.014,1.0135,1.0143
04-11-2010 15:38:01,297,1.014,1.014,1.0135,1.0143
04-11-2010 15:39:01,249,1.0141,1.014,1.0138,1.0143
04-11-2010 15:40:01,358,1.014,1.0141,1.0135,1.0144
04-11-2010 15:41:01,299,1.0141,1.0141,1.0135,1.0143
04-11-2010 15:42:01,388,1.0141,1.0142,1.0135,1.0146
04-11-2010 15:43:01,295,1.0142,1.0142,1.0138,1.0146
04-11-2010 15:44:01,346,1.0143,1.014,1.0134,1.0143
04-11-2010 15:45:01,494,1.0139,1.0137,1.0133,1.0141
04-11-2010 15:46:01,345,1.0137,1.0135,1.013,1.0139
04-11-2010 15:47:01,420,1.0134,1.0133,1.0128,1.0137
04-11-2010 15:48:01,369,1.0133,1.0134,1.0129,1.0137
04-11-2010 15:49:01,335,1.0135,1.0137,1.013,1.0139
04-11-2010 15:50:01,376,1.0136,1.0139,1.0133,1.0141
04-11-2010 15:51:01,392,1.0138,1.0138,1.0132,1.0141
04-11-2010 15:52:01,295,1.0138,1.0141,1.0134,1.0143
04-11-2010 15:53:01,407,1.014,1.0141,1.0135,1.0143
04-11-2010 15:54:01,424,1.0142,1.0141,1.0136,1.0143
04-11-2010 15:55:01,462,1.0141,1.014,1.0134,1.0143
04-11-2010 15:56:01,482,1.0139,1.0136,1.0131,1.0142
04-11-2010 15:57:01,362,1.0137,1.0136,1.013,1.0138
04-11-2010 15:58:01,462,1.0134,1.0135,1.013,1.0138
04-11-2010 15:59:01,576,1.0135,1.0142,1.013,1.0144
04-11-2010 16:00:01,604,1.0142,1.0142,1.0137,1.0147
04-11-2010 16:01:01,338,1.0145,1.0145,1.0139,1.0147
04-11-2010 16:02:01,371,1.0142,1.0144,1.0139,1.0146
04-11-2010 16:03:01,463,1.0144,1.0148,1.0139,1.0153
04-11-2010 16:04:01,439,1.0151,1.0142,1.0139,1.0153
04-11-2010 16:05:01,368,1.0144,1.0142,1.0139,1.0147
04-11-2010 16:06:01,302,1.0143,1.0143,1.0137,1.0146
04-11-2010 16:07:01,521,1.0144,1.0136,1.0132,1.0145
04-11-2010 16:08:01,502,1.0137,1.0133,1.0129,1.0138
04-11-2010 16:09:01,482,1.0134,1.0136,1.0128,1.0138
04-11-2010 16:10:01,394,1.0137,1.014,1.0131,1.0142
04-11-2010 16:11:01,375,1.014,1.0143,1.0135,1.0145
04-11-2010 16:12:01,266,1.0143,1.0141,1.0137,1.0145
04-11-2010 16:13:01,268,1.0143,1.0145,1.0138,1.0147
04-11-2010 16:14:01,374,1.0142,1.0143,1.0139,1.0147
04-11-2010 16:15:01,324,1.0144,1.0142,1.0137,1.0146
04-11-2010 16:16:01,283,1.0143,1.0144,1.0137,1.0145
04-11-2010 16:17:01,331,1.0144,1.014,1.0135,1.0145
04-11-2010 16:18:01,312,1.014,1.0139,1.0135,1.0142
04-11-2010 16:19:01,290,1.0139,1.014,1.0134,1.0143
04-11-2010 16:20:01,252,1.014,1.014,1.0135,1.0142
04-11-2010 16:21:01,318,1.0139,1.0141,1.0135,1.0144
04-11-2010 16:22:01,326,1.0142,1.0138,1.0136,1.0144
04-11-2010 16:23:01,270,1.0142,1.0145,1.0139,1.0147
04-11-2010 16:24:01,286,1.0145,1.0143,1.0139,1.0148
04-11-2010 16:25:01,260,1.0145,1.0144,1.0138,1.0147
04-11-2010 16:26:01,309,1.0144,1.0141,1.0137,1.0147
04-11-2010 16:27:01,297,1.014,1.014,1.0136,1.0143
04-11-2010 16:28:01,228,1.014,1.014,1.0134,1.0141
04-11-2010 16:29:01,179,1.0139,1.0138,1.0133,1.0141
04-11-2010 16:30:01,326,1.0139,1.0138,1.0135,1.0142
04-11-2010 16:31:01,321,1.0136,1.0142,1.0134,1.0143
04-11-2010 16:32:01,304,1.0142,1.0145,1.0136,1.0146
04-11-2010 16:33:01,558,1.0145,1.0151,1.0141,1.0153
04-11-2010 16:34:01,550,1.0151,1.0149,1.0144,1.0153
04-11-2010 16:35:01,398,1.0149,1.0146,1.014,1.0151
04-11-2010 16:36:01,395,1.0146,1.0143,1.0141,1.0149
04-11-2010 16:37:01,221,1.0147,1.0146,1.0141,1.0148
04-11-2010 16:38:01,245,1.0146,1.0146,1.0142,1.0149
04-11-2010 16:39:01,297,1.0146,1.0146,1.0141,1.0149
04-11-2010 16:40:01,235,1.0146,1.0147,1.0141,1.0148
04-11-2010 16:41:01,346,1.0146,1.0147,1.0142,1.015
04-11-2010 16:42:01,232,1.0147,1.015,1.0143,1.0152
04-11-2010 16:43:01,322,1.015,1.0147,1.0143,1.0154
04-11-2010 16:44:01,397,1.0147,1.0144,1.014,1.0148
04-11-2010 16:45:01,292,1.0143,1.0143,1.0139,1.0148
04-11-2010 16:46:01,367,1.0145,1.0144,1.0138,1.0147
04-11-2010 16:47:01,276,1.0144,1.0143,1.0139,1.0147
04-11-2010 16:48:01,349,1.0143,1.0139,1.0134,1.0145
04-11-2010 16:49:01,433,1.0138,1.0135,1.013,1.0141
04-11-2010 16:50:01,364,1.0135,1.0135,1.013,1.0138
04-11-2010 16:51:01,338,1.0136,1.0137,1.0132,1.014
04-11-2010 16:52:01,445,1.0136,1.0135,1.0132,1.0142
04-11-2010 16:53:01,332,1.0132,1.0134,1.013,1.0139
04-11-2010 16:54:01,222,1.0136,1.0135,1.0131,1.0139
04-11-2010 16:55:01,219,1.0134,1.0134,1.0129,1.0137
04-11-2010 16:56:01,335,1.0135,1.0136,1.013,1.0138
04-11-2010 16:57:01,315,1.0136,1.0135,1.0131,1.0138
04-11-2010 16:58:01,294,1.0134,1.0133,1.0128,1.0137
04-11-2010 16:59:01,257,1.0133,1.0134,1.0127,1.0135
04-11-2010 17:00:01,304,1.0134,1.0131,1.0128,1.0136
04-11-2010 17:01:01,209,1.0133,1.0133,1.0128,1.0135
04-11-2010 17:02:01,309,1.0133,1.0135,1.0129,1.0138
04-11-2010 17:03:01,196,1.0135,1.0137,1.0132,1.0139
04-11-2010 17:04:01,277,1.0137,1.0138,1.0133,1.014
04-11-2010 17:05:01,401,1.0138,1.014,1.0133,1.0142
04-11-2010 17:06:01,279,1.014,1.0138,1.0133,1.0142
04-11-2010 17:07:01,270,1.0139,1.0138,1.0134,1.0142
04-11-2010 17:08:01,360,1.0138,1.0141,1.0134,1.0144
04-11-2010 17:09:01,312,1.0141,1.0142,1.0137,1.0144
04-11-2010 17:10:01,208,1.0141,1.0143,1.0136,1.0145
04-11-2010 17:11:01,137,1.0143,1.0142,1.0138,1.0145
04-11-2010 17:12:01,342,1.0143,1.014,1.0135,1.0145
04-11-2010 17:13:01,375,1.014,1.0138,1.0133,1.0142
04-11-2010 17:14:01,339,1.0139,1.0137,1.0131,1.0142
04-11-2010 17:15:01,296,1.0135,1.0136,1.0129,1.0138
