"2009-04-28","Slovenia","1","20","0"
"2009-04-28","South Korea","1","2","0"
"2009-04-28","Spain","13","83","10"
"2009-04-28","Switzerland","5","12","4"
"2009-04-28","Taiwan","1","2","1"
"2009-04-28","Tanzania","1","5","0"
"2009-04-28","Ukraine","2","8","1"
"2009-04-28","United Arab Emirates","1","2","1"
"2009-04-28","United Kingdom","34","240","19"
"2009-04-28","United States","408","2942","291"
"2009-04-29","Armenia","1","2","1"
"2009-04-29","Australia","4","12","3"
"2009-04-29","Austria","1","4","1"
"2009-04-29","Canada","18","82","9"
"2009-04-29","Czech Republic","37","200","17"
"2009-04-29","Estonia","1","1","1"
"2009-04-29","Finland","2","6","1"
"2009-04-29","France","3","14","3"
"2009-04-29","Germany","23","81","7"
"2009-04-29","Greece","2","10","1"
"2009-04-29","India","14","47","9"
"2009-04-29","Indonesia","1","2","1"
"2009-04-29","Ireland","3","6","3"
"2009-04-29","Italy","6","12","0"
"2009-04-29","Jamaica","1","2","1"
"2009-04-29","Japan","3","8","3"
"2009-04-29","Lithuania","2","6","1"
"2009-04-29","Malaysia","2","9","1"
"2009-04-29","Mexico","1","6","0"
"2009-04-29","Moldova","1","4","1"
"2009-04-29","Netherlands","5","12","3"
"2009-04-29","New Zealand","4","18","2"
"2009-04-29","Norway","1","2","1"
"2009-04-29","Pakistan","4","10","4"
"2009-04-29","Philippines","1","2","1"
"2009-04-29","Poland","26","84","16"
"2009-04-29","Portugal","1","2","0"
"2009-04-29","Romania","1","6","1"
"2009-04-29","Russia","20","144","18"
"2009-04-29","Singapore","4","26","4"
"2009-04-29","Slovakia","8","41","5"
"2009-04-29","Spain","10","62","6"
"2009-04-29","Sweden","3","12","2"
"2009-04-29","Switzerland","4","10","1"
"2009-04-29","Turkey","1","20","1"
"2009-04-29","Ukraine","6","14","4"
"2009-04-29","United Kingdom","29","183","17"
"2009-04-29","United States","261","1560","158"
"2009-04-29","Vietnam","1","2","1"
"2009-04-30","Australia","5","49","5"
"2009-04-30","Belarus","3","6","3"
"2009-04-30","Belgium","3","6","2"
"2009-04-30","Brazil","4","8","0"
"2009-04-30","Canada","11","62","6"
"2009-04-30","Czech Republic","40","258","14"
"2009-04-30","Denmark","1","20","1"
"2009-04-30","Estonia","5","28","4"
"2009-04-30","Finland","2","4","0"
"2009-04-30","France","6","44","6"
"2009-04-30","Germany","21","43","3"
"2009-04-30","Greece","2","8","0"
"2009-04-30","Hong Kong","1","4","1"
"2009-04-30","India","9","37","7"
"2009-04-30","Iran","1","4","1"
"2009-04-30","Israel","4","10","4"
"2009-04-30","Italy","7","18","1"
"2009-04-30","Japan","2","18","1"
"2009-04-30","Latvia","1","2","1"
"2009-04-30","Malaysia","1","2","1"
"2009-04-30","Mexico","3","6","0"
"2009-04-30","Moldova","1","11","1"
"2009-04-30","Netherlands","3","18","1"
"2009-04-30","Norway","1","2","1"
"2009-04-30","Philippines","1","2","1"
"2009-04-30","Poland","13","39","9"
"2009-04-30","Portugal","1","2","0"
"2009-04-30","Russia","39","125","36"
"2009-04-30","Slovakia","6","40","5"
"2009-04-30","Spain","2","6","2"
"2009-04-30","Sweden","1","18","0"
"2009-04-30","Switzerland","5","12","4"
"2009-04-30","Taiwan","1","2","1"
"2009-04-30","Thailand","1","2","1"
"2009-04-30","Ukraine","13","56","11"
"2009-04-30","United Kingdom","17","77","11"
"2009-04-30","United States","135","928","70"
"2009-04-30","Venezuela","1","2","0"
